date;NIBOR
nov.13;jan.61
okt.13;jan.61
sep.13;jan.63
aug.13;jan.63
jul.13;jan.61
jun.13;jan.66
mai.13;01.jul
apr.13;jan.77
mar.13;jan.78
feb.13;jan.81
jan.13;01.aug
des.12;jan.82
nov.12;jan.81
okt.12;jan.78
sep.12;jan.81
aug.12;jan.86
jul.12;jan.93
jun.12;02.jan
mai.12;jan.94
apr.12;jan.95
mar.12;02.mai
feb.12;feb.26
jan.12;feb.31
des.11;feb.84
nov.11;feb.85
okt.11;feb.85
sep.11;feb.88
aug.11;feb.89
jul.11;feb.65
jun.11;feb.68
mai.11;feb.59
apr.11;02.apr
mar.11;feb.38
feb.11;feb.39
jan.11;feb.39
des.10;feb.42
nov.10;feb.36
okt.10;feb.36
sep.10;feb.45
aug.10;feb.48
jul.10;feb.52
jun.10;feb.49
mai.10;feb.22
apr.10;02.sep
mar.10;02.jan
feb.10;02.jan
jan.10;02.apr
des.09;jan.88
nov.09;jan.78
okt.09;jan.75
sep.09;jan.61
aug.09;jan.61
jul.09;jan.67
jun.09;jan.88
mai.09;02.aug
apr.09;feb.66
mar.09;feb.99
feb.09;mar.41
jan.09;mar.64
des.08;apr.43
nov.08;05.jun
okt.08;07.mar
sep.08;jun.55
aug.08;jun.16
jul.08;06.nov
jun.08;06.sep
mai.08;jun.24
apr.08;jun.17
mar.08;mai.97
feb.08;mai.68
jan.08;05.jun
des.07;mai.86
nov.07;mai.46
okt.07;mai.47
sep.07;mai.27
aug.07;05.jan
jul.07;apr.76
jun.07;apr.67
mai.07;apr.41
apr.07;apr.39
mar.07;apr.31
feb.07;04.mai
jan.07;mar.87
des.06;mar.79
nov.06;mar.55
okt.06;mar.42
sep.06;mar.24
aug.06;mar.13
jul.06;feb.96
jun.06;feb.99
mai.06;feb.86
apr.06;02.aug
mar.06;feb.65
feb.06;feb.44
jan.06;feb.44
des.05;feb.48
nov.05;feb.48
okt.05;feb.36
sep.05;feb.24
aug.05;feb.16
jul.05;feb.18
jun.05;02.sep
mai.05;jan.99
apr.05;02.jan
mar.05;jan.96
feb.05;jan.89
jan.05;jan.92
des.04;jan.99
nov.04;jan.99
okt.04;2
sep.04;jan.97
aug.04;2
jul.04;02.mar
jun.04;02.mar
mai.04;02.jan
apr.04;2
mar.04;jan.93
feb.04;feb.15
jan.04;feb.32
des.03;feb.77
nov.03;feb.83
okt.03;feb.84
sep.03;02.sep
aug.03;mar.31
jul.03;mar.98
jun.03;apr.47
mai.03;mai.17
apr.03;mai.44
mar.03;mai.65
feb.03;mai.94
jan.03;jun.22
des.02;jun.95
nov.02;07.des
okt.02;jul.13
sep.02;07.nov
aug.02;jul.14
jul.02;jul.18
jun.02;jun.88
mai.02;jun.72
apr.02;06.jul
mar.02;jun.68
feb.02;06.jun
jan.02;jun.49
des.01;jun.86
nov.01;07.sep
okt.01;07.jan
sep.01;jul.14
aug.01;jul.19
jul.01;jul.29
jun.01;jul.32
mai.01;jul.38
apr.01;jul.53
mar.01;jul.34
feb.01;jul.24
jan.01;jul.39
des.00;jul.49
nov.00;jul.31
okt.00;jul.38
sep.00;07.nov
aug.00;jun.92
jul.00;jun.59
jun.00;jun.54
mai.00;jun.29
apr.00;06.jul
mar.00;mai.86
feb.00;mai.81
jan.00;mai.79
des.99;06.jun
nov.99;mai.79
okt.99;mai.82
sep.99;06.feb
aug.99;jun.33
jul.99;jun.46
jun.99;jun.73
mai.99;07.feb
apr.99;07.jun
mar.99;07.mar
feb.99;jul.83
jan.99;aug.39
des.98;aug.79
nov.98;aug.25
okt.98;aug.17
sep.98;aug.34
aug.98;07.nov
jul.98;mai.28
jun.98;apr.69
mai.98;apr.34
apr.98;04.mar
mar.98;mar.99
feb.98;mar.76
jan.98;mar.71
des.97;mar.64
nov.97;mar.69
okt.97;mar.75
sep.97;mar.72
aug.97;mar.82
jul.97;mar.83
jun.97;03.apr
mai.97;mar.37
apr.97;03.apr
mar.97;mar.44
feb.97;mar.45
jan.97;mar.46
des.96;apr.18
nov.96;apr.25
okt.96;apr.86
sep.96;apr.89
aug.96;apr.89
jul.96;apr.87
jun.96;apr.89
mai.96;apr.78
apr.96;apr.78
mar.96;apr.91
feb.96;mai.31
jan.96;mai.76
des.95;mai.95
nov.95;05.feb
okt.95;05.mar
sep.95;mai.34
aug.95;05.des
jul.95;mai.45
jun.95;mai.76
mai.95;mai.88
apr.95;mai.36
mar.95;mai.18
feb.95;mai.15
jan.95;mai.49
des.94;jun.19
nov.94;jun.87
okt.94;mai.94
sep.94;06.mai
aug.94;mai.35
jul.94;mai.35
jun.94;05.feb
mai.94;mai.21
apr.94;mai.44
mar.94;mai.28
feb.94;05.jul
jan.94;05.mai
des.93;jun.13
nov.93;mai.46
okt.93;06.mar
sep.93;jun.49
aug.93;jun.17
jul.93;jun.59
jun.93;jun.96
mai.93;jul.63
apr.93;aug.48
mar.93;aug.93
feb.93;sep.43
jan.93;11.jan
des.92;23.sep
nov.92;22.29
okt.92;13.47
sep.92;21.sep
aug.92;nov.24
jul.92;okt.49
jun.92;okt.35
mai.92;okt.49
apr.92;10.apr
mar.92;okt.28
feb.92;okt.49
jan.92;okt.76
des.91;okt.94
nov.91;10.mar
okt.91;okt.53
sep.91;okt.61
aug.91;okt.14
jul.91;10.apr
jun.91;okt.47
mai.91;okt.19
apr.91;okt.43
mar.91;okt.79
feb.91;okt.86
jan.91;nov.35
des.90;nov.52
nov.90;nov.36
okt.90;nov.31
sep.90;okt.67
aug.90;okt.88
jul.90;11.apr
jun.90;nov.42
mai.90;nov.66
apr.90;des.23
mar.90;12.nov
feb.90;nov.44
jan.90;nov.81
des.89;des.48
nov.89;nov.75
okt.89;nov.33
sep.89;11.mai
aug.89;10.sep
jul.89;11.feb
jun.89;okt.84
mai.89;okt.96
apr.89;nov.28
mar.89;nov.33
feb.89;nov.37
jan.89;11.mai
des.88;nov.81
nov.88;13.41
okt.88;des.72
sep.88;13.mai
aug.88;12.sep
jul.88;13.jul
jun.88;13.mar
mai.88;13.44
apr.88;13.94
mar.88;13.98
feb.88;13.93
jan.88;14.21
des.87;14.99
nov.87;14.69
okt.87;13.96
sep.87;14.feb
aug.87;14.feb
jul.87;14.24
jun.87;14.46
mai.87;14.47
apr.87;14.58
mar.87;14.57
feb.87;15.feb
jan.87;16.39
des.86;17.56
nov.86;15.jul
okt.86;14.85
sep.86;14.34
aug.86;14.37
jul.86;14.56
jun.86;14.32
mai.86;17.25
apr.86;13.74
mar.86;13.23
feb.86;13.43
jan.86;13.mar
des.85;12.mar
nov.85;
okt.85;
sep.85;
aug.85;
jul.85;
jun.85;
mai.85;
apr.85;
mar.85;
feb.85;
jan.85;
des.84;
nov.84;
okt.84;
sep.84;
aug.84;
jul.84;
jun.84;
mai.84;
apr.84;
mar.84;
feb.84;
jan.84;
des.83;
nov.83;
okt.83;
sep.83;
aug.83;
jul.83;
jun.83;
mai.83;
apr.83;
mar.83;
feb.83;
jan.83;
des.82;
nov.82;
okt.82;
sep.82;
aug.82;
jul.82;
jun.82;
mai.82;
apr.82;
mar.82;
feb.82;
jan.82;
